Designator,Mid X,Mid Y,Rotation,Layer
J1,174.5,-53.33,90.0,top
J2,149.5,-56.5,90.0,top
J3,174.5,-50.0,90.0,top
J4,199.5,-51.5,90.0,top
J5,130.0,-63.45,0.0,top
J6,113.5,-114.45,0.0,bottom
SW1,161.5,-128.0,0.0,top
U1,192.5,-95.2,0.0,top
U2,133.82,-117.275,90.0,top
U3,113.88,-63.93,0.0,top
